Date,Open,High,Low,Close,Adj Close,Volume,SMA(open)5D,TMA 30D,SMA(high)5D,TMA 30D,SMA(low)5D,TMA 30D,SMA(close)5D,TMA 30D,SMA(adjclose)5D,TMA 30D,SMA(volume)5D,TMA 30D
2020-08-10,2159.100098,2165,2108.100098,2119.850098,2113.05249,12441573,2105.540015,,2149.1,,2069.930005,,2113.32002,,2106.543408,,27285146.4,
2020-08-11,2134.800049,2160,2100.350098,2133.800049,2126.957764,21611256,2127.100025,,2170.7,,2090.930029,,2135.490039,,2128.642334,,25461632.6,
2020-08-12,2121,2145,2106.800049,2127.600098,2120.777832,13967116,2149.940039,,2169.3,,2110.950049,,2132.130029,,2125.293115,,21288497.4,
2020-08-13,2128,2138.899902,2110,2122.050049,2115.245361,11459190,2140.340039,,2159.1,,2108.650049,,2132.360059,,2125.522412,,17200958.6,
2020-08-14,2122.550049,2157,2089.25,2113.800049,2107.021973,15333164,2134.540039,,2153.33999,,2109.090039,,2129.950049,,2123.120117,,14940287.6,
2020-08-17,2105,2105,2070.100098,2091.350098,2084.644043,14296834,2133.090039,,2153.17998,,2102.900049,,2123.420069,,2116.611084,,14962459.8,
2020-08-18,2085,2134.300049,2082.350098,2118.550049,2111.756592,14097746,2122.27002,,2141.17998,,2095.300049,,2117.720069,,2110.929395,,15333512,
2020-08-19,2141,2154,2121.350098,2131.550049,2124.715088,15731396,2112.31001,,2136.03999,,2091.700049,,2114.670069,,2107.88916,,13830810,
2020-08-20,2120,2123.899902,2088,2097.050049,2090.325684,10401212,2116.31001,,2137.83999,,2094.610059,,2115.460059,,2108.676611,,14183666,
2020-08-21,2118,2122,2077,2081.850098,2075.174316,11667129,2114.71001,,2134.83999,,2090.210059,,2110.460059,,2103.692676,,13972070.4,
2020-08-24,2091.399902,2104.5,2070.5,2095.75,2089.029785,15098991,2113.8,2032.637671,2127.83999,2066.548993,2087.760059,1999.984009,2104.070069,2035.764354,2097.323145,2029.236445,13238863.4,26024539.38
2020-08-25,2106,2111.300049,2078,2082.100098,2075.423584,8947563,2111.07998,2042.254004,2127.73999,2075.630994,2087.840039,2009.583344,2104.950049,2044.729689,2098.200293,2038.173031,13399294.8,25885610.21
2020-08-26,2085,2147.949951,2047,2137.300049,2130.446533,27630190,2115.27998,2051.124003,2123.13999,2084.111661,2086.97002,2018.466012,2097.660059,2053.169691,2090.933691,2046.585969,12369258.2,25682520.09
2020-08-27,2148,2150,2103.25,2110.600098,2103.832275,12961252,2104.07998,2059.640669,2121.92998,2091.923328,2072.1,2026.779679,2098.810059,2060.743026,2092.07998,2054.13502,14749017,25346206.65
2020-08-28,2120,2132.899902,2106.25,2116.149902,2109.364258,12537520,2109.67998,2067.024669,2127.15,2098.735662,2075.15,2034.544345,2101.520069,2068.048027,2094.781299,2061.416598,15261025,24740122.56
2020-08-31,2174,2174,2060.350098,2080.699951,2074.028076,28648125,2110.07998,2074.342002,2129.32998,2105.495329,2081,2042.236012,2108.380029,2075.315696,2101.619287,2068.660961,15435103.2,24075595.47
2020-09-01,2100,2122.399902,2062.399902,2087.25,2080.556885,17821397,2126.6,2081.562668,2143.22998,2112.091662,2078.97002,2050.031012,2105.37002,2082.587697,2098.618945,2075.909644,18144930,23398513.14
2020-09-02,2092,2138,2085,2128.199951,2121.375732,12437162,2125.4,2089.237668,2145.449951,2119.255994,2075.85,2057.760679,2106.4,2089.860031,2099.645605,2083.15866,19919696.8,22913335.89
2020-09-03,2128,2138.75,2103,2112.100098,2105.327393,8577634,2126.8,2096.839335,2143.459961,2126.258992,2083.45,2065.058346,2104.57998,2096.803031,2097.831445,2090.079396,16881091.2,22564719.53
2020-09-04,2083.550049,2096.949951,2072.199951,2077.25,2070.589111,13141644,2122.8,2104.187335,2141.209961,2132.987658,2083.4,2071.524679,2104.87998,2102.618696,2098.130469,2095.876414,16004367.6,22360636.73
2020-09-07,2084,2105.75,2044.25,2082.649902,2075.97168,10119064,2115.51001,2110.355668,2134.019971,2138.236657,2076.58999,2076.79668,2097.1,2107.015029,2090.375439,2100.258651,16125192.4,22135415.19
2020-09-08,2092,2121,2080.5,2107.100098,2100.343506,12643749,2097.51001,2114.861002,2120.369971,2141.62599,2073.369971,2080.376346,2097.48999,2109.589028,2090.76416,2102.824398,12419380.2,21696175.99
2020-09-09,2085,2167.800049,2081.449951,2161.350098,2154.419434,25525961,2095.91001,2117.026335,2120.08999,2142.781655,2076.98999,2082.327013,2101.46001,2110.600695,2094.721484,2103.832821,11383850.6,20998922.85
2020-09-10,2183.100098,2344.949951,2175.350098,2314,2306.579834,64750460,2094.51001,2117.690336,2126.05,2142.481322,2076.27998,2082.97068,2108.090039,2110.370363,2101.330225,2103.603229,14001610.4,20227336.77
2020-09-11,2312,2337.850098,2287.100098,2319.75,2312.311523,27445768,2105.530029,2117.008337,2167.28999,2141.227655,2090.75,2082.859015,2148.47002,2109.743366,2141.580713,2102.978244,25236175.6,19503345.16
2020-09-14,2325,2360,2282,2302.550049,2295.166748,20335273,2151.22002,2116.060006,2215.47002,2140.948654,2133.730029,2082.692016,2196.97002,2110.122035,2189.925195,2103.355698,28097000.4,19109154.51
2020-09-15,2311.949951,2325.75,2288.149902,2318.850098,2311.414551,12542824,2199.42002,2116.258007,2266.32002,2142.502321,2181.280029,2083.991018,2240.950049,2112.644369,2233.764209,2105.869945,30140242.2,18950741.58
2020-09-16,2320,2369.350098,2310.550049,2324.550049,2317.096191,15668979,2243.41001,2118.912675,2307.27002,2146.696322,2222.81001,2087.70702,2283.300049,2117.614037,2275.978418,2110.823678,30120057.2,18963780.2
2020-09-17,2320,2333.699951,2291.850098,2298.75,2291.378906,11919927,2290.41001,2123.937676,2347.580029,2152.435322,2268.630029,2093.81002,2315.940039,2124.176037,2308.513769,2117.364639,28148660.8,18862535.09
2020-09-18,2314.25,2319.449951,2276.550049,2305.699951,2298.306396,15264068,2317.78999,2130.588676,2345.330029,2159.42999,2291.930029,2101.121354,2312.890039,2131.62737,2305.473584,2124.79208,17582554.2,18689772.34
2020-09-21,2300,2336,2247.350098,2255.850098,2248.616455,15519031,2318.23999,2137.765675,2341.65,2166.162992,2289.82002,2108.970688,2310.080029,2138.808703,2302.672558,2131.950389,15146214.2,18237213.73
2020-09-22,2277,2277,2201.550049,2211.149902,2204.05957,16056620,2313.23999,2144.855675,2336.85,2172.581325,2282.890039,2116.300355,2300.740039,2145.36737,2293.3625,2138.488027,14182965.8,17832582.66
2020-09-23,2260,2276.75,2205.300049,2230.800049,2223.646729,19839282,2306.25,2151.06034,2327.1,2178.119658,2265.570069,2122.699022,2279.2,2150.875703,2271.891504,2143.9787,14885725,17456627.1
2020-09-24,2207.899902,2226,2176.050049,2181.199951,2174.205811,13764841,2294.25,2156.270672,2308.57998,2183.379658,2244.520069,2127.853023,2260.45,2155.778036,2253.201611,2148.865312,15719785.6,17243201.35
2020-09-25,2189,2212.800049,2167.300049,2201.699951,2194.639893,13095028,2271.82998,2161.401004,2287.03999,2188.362324,2221.360059,2132.382023,2236.93999,2160.0477,2229.766992,2153.121286,16088768.4,17193828.92
2020-09-28,2227,2238,2207.050049,2216.25,2209.143311,9076248,2246.77998,2165.977336,2265.71001,2192.818991,2199.510059,2136.124357,2216.13999,2163.614032,2209.033692,2156.676182,15654960.4,17232111.61
2020-09-29,2225,2264,2216.25,2245.050049,2237.851074,11926328,2232.17998,2169.767,2246.11001,2196.569992,2191.450049,2139.344691,2208.219971,2166.704696,2201.139063,2159.756935,14366403.8,17255194.97
2020-09-30,2260,2267,2225,2234.350098,2227.185303,11290667,2221.77998,2173.430666,2243.51001,2200.067659,2194.390039,2142.549691,2215,2169.721359,2207.897364,2162.763924,13540345.4,17222958.03
2020-10-01,2263.800049,2263.800049,2214,2225.25,2218.114502,9591456,2221.77998,2177.079665,2241.56001,2203.649993,2198.330029,2145.972691,2215.71001,2173.06569,2208.605078,2166.097531,11830622.4,17213275.87
2020-10-05,2244,2249.149902,2206,2212.199951,2205.106201,8732869,2232.96001,2180.59533,2249.12002,2207.107327,2205.92002,2149.430023,2224.52002,2176.407355,2217.386817,2169.42848,10995945.4,17134841.09
2020-10-06,2225.25,2233.899902,2201.649902,2210.350098,2203.262451,8497216,2243.96001,2184.536997,2256.38999,2210.916662,2213.66001,2153.287022,2226.62002,2180.209354,2219.480078,2173.218285,10123513.6,17035636.92
2020-10-07,2235,2309,2220,2257.5,2250.260986,24538346,2243.61001,2188.875664,2255.569971,2215.201662,2212.57998,2157.483687,2225.440039,2184.294352,2218.303906,2177.290182,10007707.2,16931791.93
2020-10-08,2259,2268,2222.100098,2239.25,2232.06958,9727405,2245.61001,2193.293332,2264.569971,2219.462661,2213.32998,2161.641685,2227.930029,2188.310685,2220.785889,2181.293636,12530110.8,16818739.01
2020-10-09,2235,2253,2217.100098,2233.449951,2226.288086,8558745,2245.41001,2197.637666,2264.769971,2224.176994,2212.75,2165.853683,2228.91001,2192.653018,2221.762744,2185.622043,12217458.4,16824100.76
2020-10-12,2235,2255.75,2226.25,2237.050049,2229.876709,6565515,2239.65,2202.348667,2262.609961,2228.938327,2213.37002,2170.542017,2230.55,2196.989683,2223.397461,2189.944801,12010916.2,16739715.47
2020-10-13,2230.600098,2285.75,2225.850098,2280.699951,2273.386719,10666190,2237.85,2206.681001,2263.92998,2233.453659,2217.42002,2175.149351,2235.52002,2201.29068,2228.351562,2194.232007,11577445.4,16631378.51
2020-10-14,2278.899902,2304,2268.5,2287.5,2280.164795,12341434,2238.92002,2210.940002,2274.3,2237.940325,2222.260059,2179.696685,2249.58999,2205.52868,2242.376416,2198.456416,12011240.2,16502789.92
2020-10-15,2290,2290,2195,2206.5,2199.424561,9246702,2247.7,2214.684002,2273.3,2242.309326,2231.960059,2184.473019,2255.58999,2210.336012,2248.357178,2203.248332,9571857.8,16298333.59
2020-10-16,2215,2232.5,2172.649902,2175.800049,2168.822998,9960828,2253.9,2218.760669,2277.7,2246.570994,2226.540039,2189.676688,2249.03999,2215.309012,2241.828174,2208.205384,9475717.2,15953405.63
2020-10-19,2190.050049,2228.699951,2155.149902,2176.199951,2169.22168,14398973,2249.9,2222.997336,2273.6,2251.045662,2217.65,2194.446356,2237.51001,2220.124346,2230.335156,2213.005275,9756133.8,15706559.83
2020-10-20,2179,2193,2152.25,2155.899902,2148.986816,8529573,2240.91001,2227.234002,2268.18999,2255.458664,2203.42998,2198.921356,2225.33999,2224.545347,2218.204151,2217.412098,11322825.4,15498285.37
2020-10-21,2168,2192,2097.75,2124.600098,2117.787354,15728986,2230.58999,2231.414002,2249.63999,2259.930998,2188.709961,2203.149356,2200.37998,2228.820013,2193.32417,2221.673055,10895502,15338206.47
2020-10-22,2127.399902,2132.5,2091,2106.949951,2100.193848,14215215,2208.41001,2235.850002,2227.23999,2264.239998,2154.559961,2206.994022,2167.8,2232.249679,2160.848682,2225.091722,11573012.4,15287410.53
2020-10-23,2106,2135,2096.399902,2113.050049,2106.274414,10809307,2175.88999,2239.600002,2195.73999,2267.811665,2133.759961,2209.579688,2147.88999,2234.461012,2141.002539,2227.295962,12566715,15293715.92
2020-10-26,2101.949951,2101.949951,2018.5,2029.099976,2022.593384,17225212,2154.08999,2242.312668,2176.23999,2270.134665,2118.509961,2211.495687,2135.33999,2235.787677,2128.492822,2228.618372,12736410.8,15245886.07
2020-10-27,2034.900024,2059.850098,2005,2034.5,2027.976196,16835005,2136.469971,2243.931333,2150.88999,2270.432998,2091.17998,2212.421019,2105.919995,2235.35001,2099.167163,2228.182109,13301658.6,14829227.25
2020-10-28,2041.800049,2057.699951,2007.400024,2011.449951,2005,13809929,2107.649975,2243.439665,2124.26001,2268.28033,2061.72998,2211.002684,2081.640015,2232.315009,2074.965039,2225.156842,14962745,14336049.19
2020-10-29,1997,2042,1991,2026.900024,2020.400513,14147418,2082.409985,2240.380663,2097.4,2263.544997,2043.659985,2207.017682,2059.009985,2227.004675,2052.407568,2219.863536,14578933.6,13830132.61
2020-10-30,2033.5,2065.100098,2021.800049,2054.5,2047.911987,15700946,2056.330005,2235.013996,2079.3,2256.549329,2023.659985,2201.046015,2043,2219.528339,2036.448901,2212.411174,14565374.2,13312095.16
2020-11-02,2027,2027,1859.150024,1877.449951,1871.429688,45857806,2041.830005,2227.211329,2065.32002,2247.606662,2008.740015,2192.880347,2031.28999,2210.430338,2024.776416,2203.342345,15543702,12859318.94
2020-11-03,1890,1909,1835.099976,1850.400024,1844.466553,40931170,2026.840015,2218.012663,2050.330029,2238.272995,1976.870019,2183.44068,2000.959985,2201.043669,1994.543677,2193.985773,21270220.8,12791357.2
2020-11-04,1837,1929,1837,1913.199951,1907.065063,37003111,1997.86001,2208.29933,2020.16001,2228.562329,1942.890015,2173.009013,1964.13999,2190.739668,1957.841748,2183.71481,26089453.8,12995490.75
2020-11-05,1954.949951,1960.949951,1932,1955,1948.731079,17170274,1956.9,2197.786664,1994.42002,2218.005996,1908.81001,2161.675679,1944.48999,2179.519666,1938.254761,2172.530785,30728090.2,13392373.69
2020-11-06,1990,2040,1978.150024,2029.150024,2022.643311,30770080,1948.48999,2186.141664,1978.21001,2206.916663,1897.01001,2149.783677,1930.109985,2168.362666,1923.920874,2161.409561,31332661.4,13920452.53
2020-11-09,2062.100098,2069,2036,2050.699951,2044.124146,16539467,1939.78999,2174.616331,1973.18999,2195.904331,1888.280005,2138.200008,1925.03999,2157.351332,1918.867139,2150.433536,34346488.2,14440881.72
2020-11-10,2077,2090,2041.199951,2084.550049,2077.865723,17045147,1946.81001,2163.548331,1981.58999,2185.442664,1923.65,2127.09734,1959.68999,2146.954666,1953.40603,2140.070208,28482820.4,15049472.38
